Trinity,XM,E,length,chr,OG,TC,Chromosome/scaffold name,Gene start (bp),Transcript length (including UTRs and CDS),Gene % GC content,Transcript count,Gene description,iB,Gene_Location,phase,dali11,lethality,sex,chrom_num,chrom_name,Tcas_Robust_TMM,Tcas_ancestral_node,Tcas_Robust_ACE,Tcas_Robust_log2(Current:Ancestral),Tcas_Robust(Current:Ancestral),Tcas_abs(Current-Ancestral),Tcon-M-ACE-R-Robust-mean(current),Tcon-ancestral-node,Tcon_robust_ACE,Tcon_Robust(Current:Ancestral),Tcon_Robust_log2(Current:Ancestral),Tcon_abs(Current-Ancestral),Tfrem_Robust_TMM,Tfrem_ancestral_node,Tfrem_Robust_ACE,Tfrem_Robust(Current:Ancestral),Tfrem_Robust_log2(Current:Ancestral),Tfrem_abs(Current-Ancestral),Tbrev_Robust_TMM,Tbrev_ancestral_node,Tbrev_Robust_ACE,Tbrev_Robust(Current:Ancestral),Tbrev_Robust_log2(Current:Ancestral),Tbrev_abs(Current-Ancestral),Gcorn_Robust_TMM,Gcorn_ancestral_node,Gcorn_Robust_ACE,Gcorn_Robust(Current:Ancestral),Gcorn_Robust_log2(Current:Ancestral),Gcorn_abs(Current-Ancestral)
T_cast_DN10102_c0_g1_i2.p1.p1,XM_964581.3,0,579,LG3,OG0015178,TC011539,LG3,3680531,943,30.58,1,ALX homeobox protein 1-like Protein [Source:UniProtKB/TrEMBL;Acc:D6W6C1],iB_05052,LG3,II,20,low,Male,LG3,Autosome,0.1117186,D_Tfree-Tcast_anc,0.10674508,0.06569992,1.04659257,0.00497353,0.188671717,C_Tconf_anc,0.159221167,1.184966298,0.244846028,0.02945055,0.087801181,D_Tfree-Tcast_anc,0.106745076,0.822531444,-0.281857262895967,0.018943894,0.220937146,B_Tbrev_anc,0.1710578,1.291593522,0.369152109955377,0.049879346,0.169151854,A_MRCA,0.170628229,0.991347416,-0.0125373591001432,0.001476375
T_cast_DN10104_c0_g1_i1.p1.p1,XM_969316.3,0,645,LG8,OG0012208,TC005337,LG8,14341655,1209,36.49,1,Polycomb group protein Psc-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WV47],iB_03938,LG8,I,40,low,Male,LG8,Autosome,0.13892694,D_Tfree-Tcast_anc,0.23014101,-0.7281917,0.60366007,0.09121407,0.334937421,C_Tconf_anc,0.37286384,0.898283463,-0.15475732,0.037926419,0.28335891,D_Tfree-Tcast_anc,0.230141008,1.231240413,0.300112490950981,0.053217902,0.737728886,B_Tbrev_anc,0.442818209,1.665985883,0.736376175759505,0.294910676,0.431327807,A_MRCA,0.440228452,0.979781759,-0.0294676616113927,0.008900645
T_cast_DN1012_c0_g1_i11.p1.p1,XM_008196021.2,0,1782,LG5,OG0011650,TC014610,LG5,12358890,2138,38.4,1,,iB_12910,LG5,III,40,low,Male,LG5,Autosome,1.03711963,D_Tfree-Tcast_anc,1.28521268,-0.3094248,0.80696343,0.24809305,1.301205093,C_Tconf_anc,1.363547054,0.954279568,-0.067516111,0.062341961,1.512451277,D_Tfree-Tcast_anc,1.285212676,1.176810115,0.234881552065419,0.227238601,1.839812646,B_Tbrev_anc,1.415227919,1.300011554,0.37852444505483,0.424584727,1.030375282,A_MRCA,1.328488137,0.775599912,-0.366615455690419,0.298112855
T_cast_DN1012_c0_g1_i2.p4.p1,XM_001810235.3,0,1665,LG5,OG0011651,TC014608,LG5,12345744,3041,38.98,1,Protein brambleberry-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WMX5],iB_14656,LG5,III,60,low,Male,LG5,Autosome,0.59147393,D_Tfree-Tcast_anc,0.71517442,-0.2739806,0.82703451,0.12370049,0.56951979,C_Tconf_anc,0.711192932,0.800795064,-0.320495012,0.141673142,0.839934876,D_Tfree-Tcast_anc,0.715174419,1.174447595,0.231982339780224,0.124760457,0.863664067,B_Tbrev_anc,0.754907471,1.144066128,0.194170443015045,0.108756596,0.88525264,A_MRCA,0.784285239,1.128738112,0.174710792865763,0.100967401
T_cast_DN1014_c0_g1_i2.p1.p1,XM_008195162.2,0,2040,LGX,OG0013717,TC014168,LGX,2551198,4109,38.2,2,,iB_02256,LG5,I,20,low,Male,LGX,X,0.89881366,D_Tfree-Tcast_anc,0.82260979,0.12781382,1.09263673,0.07620388,3.159238638,C_Tconf_anc,1.788977366,1.765946678,0.820441782,1.370261272,0.489136166,D_Tfree-Tcast_anc,0.822609785,0.594615059,-0.749972094254451,0.333473619,1.764530733,B_Tbrev_anc,1.74206586,1.012895536,0.0184853912404202,0.022464873,1.348788252,A_MRCA,1.653427221,0.815753022,-0.293795667800189,0.304638969
T_cast_DN10159_c0_g1_i1.p2.p1,XM_008197523.2,0,792,LG7,OG0010022,TC008966,LG7,12771307,2080,42.97,1,Insulinoma-associated protein 1a-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WQ63],iB_12435,LG7,III,10,low,Male,LG7,Autosome,0.1201763,D_Tfree-Tcast_anc,0.11119286,0.11208824,1.08079151,0.00898344,0.10817659,C_Tconf_anc,0.136439522,0.792853779,-0.334873272,0.028262932,0.095488171,D_Tfree-Tcast_anc,0.111192863,0.858761688,-0.219670265454194,0.015704692,0.176065635,B_Tbrev_anc,0.155710041,1.130727561,0.177251366217776,0.020355594,0.263398332,A_MRCA,0.179981302,1.46347609,0.549399175808828,0.08341703
T_cast_DN1019_c0_g1_i10.p1.p1,XM_968184.3,0,1419,LG8,OG0011069,TC005610,LG8,10639056,1630,40.69,1,Lysophospholipid acyltransferase 7-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WX87],iB_09372,LG8,II,10,low,Male,LG8,Autosome,1.89870221,D_Tfree-Tcast_anc,2.01073859,-0.0827119,0.94428098,0.11203638,1.985109563,C_Tconf_anc,1.833074203,1.082940101,0.114953448,0.15203536,2.170073408,D_Tfree-Tcast_anc,2.010738593,1.079241934,0.110018311019764,0.159334816,1.220905917,B_Tbrev_anc,1.712455759,0.71295618,-0.48811468661516,0.491549842,1.701409803,A_MRCA,1.709966173,0.994996176,-0.00723711386124806,0.00855637
T_cast_DN102_c0_g3_i1.p2.p1,XM_970030.3,0,438,LG8,OG0010772,TC005716,LG8,8547386,2453,34.87,1,Desumoylating isopeptidase 1-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WWN5],iB_10523,LG8,II,50,low,Male,LG8,Autosome,0.27483746,D_Tfree-Tcast_anc,0.56567862,-1.041404,0.48585442,0.29084116,0.266328086,C_Tconf_anc,0.395912835,0.672693742,-0.571978258,0.129584749,0.901715421,D_Tfree-Tcast_anc,0.565678621,1.594041896,0.672689547714216,0.3360368,0.313133567,B_Tbrev_anc,0.368597048,0.849528146,-0.235266348258619,0.055463481,0.264398704,A_MRCA,0.345112367,0.766123528,-0.384351067692634,0.080713663
T_cast_DN102_c1_g1_i2.p2.p1,XM_008196290.2,0,2217,LG6,OG0010965,TC033318,LG6,652175,2310,43.72,1,,iB_08477,LG6,II,40,low,Male,LG6,Autosome,0.53793152,D_Tfree-Tcast_anc,0.60174631,-0.1617328,0.89395069,0.06381478,0.338830997,C_Tconf_anc,0.571585166,0.592791796,-0.754402614,0.232754169,0.673590693,D_Tfree-Tcast_anc,0.601746306,1.119393149,0.162716823629787,0.071844387,0.593386738,B_Tbrev_anc,0.633834637,0.936185408,-0.095133816291709,0.040447899,1.175065356,A_MRCA,0.755819599,1.554690242,0.636627165061453,0.419245757
T_cast_DN1021_c0_g1_i10.p2.p1,XM_966860.4,0,813,LG3,OG0011037,TC003247,LG3,308189,919,35.69,1,Negative elongation factor E-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WEE5],iB_07929,LG3,II,30,low,Male,LG3,Autosome,1.17355666,D_Tfree-Tcast_anc,1.08864204,0.10835783,1.07800049,0.08491461,1.058697095,C_Tconf_anc,1.261057449,0.839531217,-0.252344124,0.202360354,0.9578264,D_Tfree-Tcast_anc,1.088642043,0.879835945,-0.184693552298114,0.130815642,2.063633496,B_Tbrev_anc,1.395650618,1.478617549,0.564248941293178,0.667982878,1.190431176,A_MRCA,1.349397356,0.882194685,-0.180831025721523,0.15896618
T_cast_DN10232_c0_g1_i2.p1.p1,XM_008193342.2,0,390,LG4,OG0010508,TC007764,LG4,312562,551,39.94,1,,iB_14212,LG4,III,30,low,Male,LG4,Autosome,0.02769065,D_Tfree-Tcast_anc,0.10618439,-1.9391011,0.26077887,0.07849374,0.109754099,C_Tconf_anc,0.117693445,0.932542161,-0.100759142,0.007939346,0.18161415,D_Tfree-Tcast_anc,0.106184388,1.710365838,0.774304943005641,0.075429762,0.154613902,B_Tbrev_anc,0.124896155,1.237939646,0.307940979955359,0.029717747,0.124891324,A_MRCA,0.124895066,0.999970037,-0.0000432279564338669,3.74222E-06
T_cast_DN10233_c0_g1_i2.p1.p1,XM_969976.3,0,1209,LG7,OG0015145,TC010201,LG7,13115318,1407,52.48,1,,iB_04784,LG7,II,40,low,Male,LG7,Autosome,0.09774249,D_Tfree-Tcast_anc,0.1225431,-0.3262315,0.79761726,0.02480061,0.183339944,C_Tconf_anc,0.182871603,1.00256104,0.003690076,0.000468341,0.13128285,D_Tfree-Tcast_anc,0.122543103,1.071319775,0.0993891697821513,0.008739747,0.336298824,B_Tbrev_anc,0.207162106,1.623360714,0.698983605587856,0.129136718,0.154497227,A_MRCA,0.195292264,0.791107771,-0.338053851142027,0.040795036
T_cast_DN1024_c0_g2_i1.p1.p1,XM_008198033.2,0,2745,LG7,OG0014312,TC008732,LG7,15148917,3038,31.34,1,"Putative 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WSA2]",iB_10598,LG7,II,30,low,Male,LG7,Autosome,1.02371479,D_Tfree-Tcast_anc,0.97579147,0.06916905,1.04911225,0.04792331,0.410998914,C_Tconf_anc,0.916728067,0.448332421,-1.157359262,0.505729153,0.943592225,D_Tfree-Tcast_anc,0.975791472,0.967001918,-0.0484093441374118,0.032199247,1.274895281,B_Tbrev_anc,1.054605429,1.20888367,0.273675421426754,0.220289852,1.6891819,A_MRCA,1.197629068,1.410438294,0.496143549824063,0.491552831
T_cast_DN1024_c0_g2_i12.p1.p1,XM_008198034.2,0,2803,LG7,OG0015186,TC010102,LG7,15168443,4627,35.55,1,F-box only protein 11-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WSA1],iB_04760,LG7,I,20,low,Male,LG7,Autosome,1.68115825,D_Tfree-Tcast_anc,1.61431071,0.05853725,1.04140934,0.06684754,1.944062917,C_Tconf_anc,1.88965559,1.028792193,0.040951599,0.054407327,1.474159897,D_Tfree-Tcast_anc,1.614310711,0.913182256,-0.13102526749537,0.140150814,2.406105982,B_Tbrev_anc,1.983796283,1.21287957,0.278436308337484,0.422309699,1.922022328,A_MRCA,1.969873397,0.975708556,-0.0354778154387752,0.047851069
T_cast_DN1025_c0_g1_i4.p1.p1,XM_008202286.2,0,3744,LG5,OG0009844,TC033105,LG5,7852714,4410,34.06,2,Fibronectin type-III domain-containing protein 3a-like Protein [Source:UniProtKB/TrEMBL;Acc:A0A139WI77],iB_01697,LG5,I,20,low,Male,LG5,Autosome,2.98937443,D_Tfree-Tcast_anc,2.67741022,0.15900541,1.11651715,0.31196421,4.664233226,C_Tconf_anc,3.631510434,1.284378308,0.361070204,1.032722792,2.111442128,D_Tfree-Tcast_anc,2.677410221,0.788613606,-0.342609493897519,0.565968093,4.259372855,B_Tbrev_anc,3.687622693,1.155045733,0.207949974477268,0.571750162,3.06810835,A_MRCA,3.547993823,0.864744558,-0.209654065220173,0.479885472
T_cast_DN1025_c0_g1_i4.p1.p1,XM_008202286.2,0,3744,LG5,OG0009844,TC033105,LG5,7852714,4410,34.06,2,Fibronectin type-III domain-containing protein 3a-like Protein [Source:UniProtKB/TrEMBL;Acc:A0A139WI77],iB_04844,LG5,I,20,low,Male,LG5,Autosome,2.98937443,D_Tfree-Tcast_anc,2.67741022,0.15900541,1.11651715,0.31196421,4.664233226,C_Tconf_anc,3.631510434,1.284378308,0.361070204,1.032722792,2.111442128,D_Tfree-Tcast_anc,2.677410221,0.788613606,-0.342609493897519,0.565968093,4.259372855,B_Tbrev_anc,3.687622693,1.155045733,0.207949974477268,0.571750162,3.06810835,A_MRCA,3.547993823,0.864744558,-0.209654065220173,0.479885472
T_cast_DN10269_c0_g1_i1.p1.p1,XM_008193256.2,0,2337,LG3,OG0010822,TC002447,LG3,29473051,2898,31.02,1,Protein zer-1 homolog-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WI51],iB_02744,LG3,II,50,low,Male,LG3,Autosome,1.11527604,D_Tfree-Tcast_anc,1.26261448,-0.1790134,0.88330687,0.14733844,1.356977489,C_Tconf_anc,1.246062957,1.089011981,0.123019826,0.110914532,1.414359316,D_Tfree-Tcast_anc,1.262614477,1.120183034,0.16373448261597,0.151744838,1.064867561,B_Tbrev_anc,1.203871108,0.884536189,-0.177006926554646,0.139003547,1.140035042,A_MRCA,1.189483454,0.958428667,-0.0612570339944168,0.049448412
T_cast_DN1035_c0_g1_i1.p3.p1,XM_008193714.2,0,519,LG4,OG0012836,TC007983,LG4,3439552,740,35.55,1,,iB_15530,LG4,III,50,low,Male,LG4,Autosome,2.09634469,D_Tfree-Tcast_anc,1.4229956,0.55894475,1.47319127,0.67334909,1.047237413,C_Tconf_anc,1.263955191,0.828539984,-0.271356774,0.216717778,0.791986797,D_Tfree-Tcast_anc,1.422995597,0.556563069,-0.845382912976084,0.6310088,1.478365361,B_Tbrev_anc,1.268862204,1.165111039,0.220467455279036,0.209503157,0.924273139,A_MRCA,1.191197203,0.775919501,-0.366021109390753,0.266924064
T_cast_DN1037_c0_g1_i3.p1.p1,XM_001812627.3,0,1830,LG7,OG0012397,TC009012,LG7,8784377,1985,37.53,1,Endothelin-converting enzyme 2-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WPW2],iB_01458,LG7,II,20,low,Male,LG7,Autosome,0.63563227,D_Tfree-Tcast_anc,0.69007824,-0.1185676,0.92110175,0.05444597,0.98701333,C_Tconf_anc,0.867191925,1.138171725,0.186718245,0.119821405,0.697372386,D_Tfree-Tcast_anc,0.69007824,1.010570028,0.0151692978170984,0.007294146,1.052421884,B_Tbrev_anc,0.900608228,1.16856792,0.224741590099139,0.151813656,0.875203168,A_MRCA,0.894882323,0.978009226,-0.0320800201942299,0.019679155
T_cast_DN10386_c0_g1_i2.p1.p1,XM_008197588.2,0,2619,LG7,OG0010799,TC009926,LG7,11758514,3104,35.81,1,Condensin complex subunit 3-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WQG2],iB_10363,LG7,II,20,low,Male,LG7,Autosome,0.06266639,D_Tfree-Tcast_anc,0.10568548,-0.7540134,0.59295174,0.04301909,0.111004985,C_Tconf_anc,0.12969897,0.855866355,-0.22454256,0.018693985,0.142311611,D_Tfree-Tcast_anc,0.105685477,1.346557872,0.429276235275781,0.036626134,0.22809004,B_Tbrev_anc,0.145408377,1.568616915,0.649493062652231,0.082681663,0.112868671,A_MRCA,0.138074435,0.817448002,-0.290801131348276,0.025205764
T_cast_DN1040_c0_g1_i1.p1.p1,XM_008194628.2,0,1047,LG4,OG0010502,TC008455,LG4,10786745,1166,36.57,1,,iB_08170,LG4,II,30,low,Male,LG4,Autosome,0.12813963,D_Tfree-Tcast_anc,0.13145539,-0.0368566,0.97477654,0.00331576,0.276161015,C_Tconf_anc,0.192725246,1.432925994,0.518964101,0.083435769,0.118459676,D_Tfree-Tcast_anc,0.131455391,0.901139737,-0.150177257903141,0.012995715,0.18138059,B_Tbrev_anc,0.190852152,0.950372256,-0.0734353736960893,0.009471562,0.194027549,A_MRCA,0.191567837,1.012839904,0.0184061511390105,0.002459713
T_cast_DN1043_c0_g1_i10.p1.p1,XM_008195775.2,0,1113,LG5,OG0014006,TC031153,LG5,11612376,1919,37.22,1,,iB_14850,LG5,III,40,low,Male,LG5,Autosome,0.34101838,D_Tfree-Tcast_anc,0.49694964,-0.5432502,0.68622322,0.15593126,1.112517056,C_Tconf_anc,0.824377372,1.349524009,0.432450643,0.288139684,0.565711947,D_Tfree-Tcast_anc,0.496949639,1.138368766,0.186967983497153,0.068762308,1.242407532,B_Tbrev_anc,0.864836577,1.436580696,0.522639034974743,0.377570955,0.48129181,A_MRCA,0.778391568,0.618315806,-0.693584209592205,0.297099758
T_cast_DN1048_c0_g1_i4.p1.p1,XM_008200588.2,0,1071,LG10,OG0010540,TC011406,LG10,5716826,1104,32.98,1,cAMP-dependent protein kinase catalytic subunit-like Protein [Source:UniProtKB/TrEMBL;Acc:D6X4G7],iB_16897,LG10,II/III,70,low,Male,LG10,Autosome,0.08374361,D_Tfree-Tcast_anc,0.07629924,0.13431044,1.09756809,0.00744437,0.103056349,C_Tconf_anc,0.132357729,0.778619799,-0.361009065,0.02930138,0.053930779,D_Tfree-Tcast_anc,0.076299236,0.706832486,-0.500559747084365,0.022368457,0.12513565,B_Tbrev_anc,0.164443017,0.76096664,-0.394094886956492,0.039307367,0.477019248,A_MRCA,0.234892825,2.030795315,1.02204483671438,0.242126423
T_cast_DN1049_c0_g1_i4.p1.p1,XM_962400.2,0,765,LG3,OG0010741,TC032340,LG3,2687714,1164,30.62,1,Syntaxin-6-like Protein [Source:UniProtKB/TrEMBL;Acc:A0A139WLW2],iB_06899,LG3,II,20,low,Male,LG3,Autosome,1.49775062,D_Tfree-Tcast_anc,1.98209423,-0.4042281,0.75564047,0.48434361,1.408194776,C_Tconf_anc,1.832750319,0.768350583,-0.380163361,0.424555543,2.50619669,D_Tfree-Tcast_anc,1.982094227,1.264418541,0.338474095214922,0.524102463,2.368419759,B_Tbrev_anc,1.908082109,1.24125673,0.311801539609155,0.46033765,1.635786796,A_MRCA,1.846710992,0.885783863,-0.174973380602697,0.210924196
T_cast_DN10508_c0_g1_i1.p1.p1,XM_008194005.2,0,981,LG4,OG0014359,TC007345,LG4,5855090,1175,37.11,1,,iB_04316,LG4,I,100,high,Male,LG4,Autosome,0.38348018,D_Tfree-Tcast_anc,0.5304902,-0.4681741,0.72287891,0.14701002,0.845933744,C_Tconf_anc,0.635421348,1.331295756,0.412831111,0.210512396,0.649565082,D_Tfree-Tcast_anc,0.530490198,1.224461987,0.29214798714901,0.119074884,0.472789353,B_Tbrev_anc,0.610578913,0.774329644,-0.368980220163615,0.137789561,0.674852423,A_MRCA,0.62506516,1.079651316,0.110565455656335,0.049787263
T_cast_DN10533_c0_g1_i1.p1.p1,XM_967703.3,0,1170,LG6,OG0012294,TC015642,LG6,3909264,1520,42.61,1,Serine palmitoyltransferase 1-like Protein [Source:UniProtKB/TrEMBL;Acc:D2A639],iB_05857,LG6,I,0,low,Male,LG6,Autosome,2.38297477,D_Tfree-Tcast_anc,2.79137718,-0.2282134,0.85369143,0.40840242,2.540230648,C_Tconf_anc,2.711412177,0.936866283,-0.094084945,0.171181529,3.221068159,D_Tfree-Tcast_anc,2.791377182,1.153935118,0.206562108628927,0.429690977,3.135671334,B_Tbrev_anc,2.733785233,1.147007196,0.197874442017701,0.401886101,2.170115348,A_MRCA,2.606742833,0.832500744,-0.26447653291209,0.436627484
